countynum,countyname,sampsize,popsize,radon
9,Carlton,11,10500,1.8
9,Carlton,11,10500,3.4
9,Carlton,11,10500,5.6
9,Carlton,11,10500,4.3
9,Carlton,11,10500,2
9,Carlton,11,10500,3.9
9,Carlton,11,10500,4.7
10,Carver,6,14100,9.6
10,Carver,6,14100,4.4
10,Carver,6,14100,1.6
10,Carver,6,14100,12.9
10,Carver,6,14100,0.5
10,Carver,6,14100,14.7
11,Cass,5,8400,7.4
11,Cass,5,8400,1.9
11,Cass,5,8400,3.7
11,Cass,5,8400,4
11,Cass,5,8400,5.3
12,Chippewa,5,5600,7.7
12,Chippewa,5,5600,1.4
12,Chippewa,5,5600,10
12,Chippewa,5,5600,9.4
12,Chippewa,5,5600,2.7
13,Chisago,6,10000,0.8
13,Chisago,6,10000,4.4
13,Chisago,6,10000,5
13,Chisago,6,10000,2.1
13,Chisago,6,10000,8.1
13,Chisago,6,10000,1.7
14,Clay,15,17200,13
14,Clay,15,17200,0.9
14,Clay,15,17200,8.8
14,Clay,15,17200,3.5
14,Clay,15,17200,19.5
14,Clay,15,17200,26.6
14,Clay,15,17200,1.5
14,Clay,15,17200,2.5
14,Clay,15,17200,12.9
14,Clay,15,17200,9
14,Clay,15,17200,2.6
14,Clay,15,17200,13.1
14,Clay,15,17200,3.6
14,Clay,15,17200,6.9
14,Clay,15,17200,10.8
15,Clearwater,4,3100,4.8
15,Clearwater,4,3100,3.4
15,Clearwater,4,3100,0.9
15,Clearwater,4,3100,3.4
16,Cook,2,1800,2.7
16,Cook,2,1800,1.4
17,Cottonwood,4,5200,0.5
17,Cottonwood,4,5200,2.5
17,Cottonwood,4,5200,6.8
17,Cottonwood,4,5200,11.1
18,Crow Wing,12,17200,4.4
18,Crow Wing,12,17200,4.3
18,Crow Wing,12,17200,5.5
18,Crow Wing,12,17200,1.8
18,Crow Wing,12,17200,1.5
18,Crow Wing,12,17200,6.7
18,Crow Wing,12,17200,1.6
18,Crow Wing,12,17200,2.9
18,Crow Wing,12,17200,1
18,Crow Wing,12,17200,4.1
18,Crow Wing,12,17200,2.5
18,Crow Wing,12,17200,0.9
19,Dakota,69,79400,8
19,Dakota,69,79400,3.6
19,Dakota,69,79400,6.8
19,Dakota,69,79400,1.4
19,Dakota,69,79400,2.3
19,Dakota,69,79400,1.6
19,Dakota,69,79400,8.8
19,Dakota,69,79400,2.6
19,Dakota,69,79400,2.8
19,Dakota,69,79400,4.3
19,Dakota,69,79400,4.4
19,Dakota,69,79400,2.8
19,Dakota,69,79400,6.5
19,Dakota,69,79400,1.7
19,Dakota,69,79400,4.4
19,Dakota,69,79400,4.6
19,Dakota,69,79400,3.3
19,Dakota,69,79400,3.6
19,Dakota,69,79400,1.7
19,Dakota,69,79400,21.2
19,Dakota,69,79400,4.8
19,Dakota,69,79400,2.8
19,Dakota,69,79400,9.1
19,Dakota,69,79400,1.4
19,Dakota,69,79400,4.8
19,Dakota,69,79400,6
19,Dakota,69,79400,3.4
19,Dakota,69,79400,8.2
19,Dakota,69,79400,4.5
19,Dakota,69,79400,0.9
19,Dakota,69,79400,2
19,Dakota,69,79400,4.9
19,Dakota,69,79400,1.4
19,Dakota,69,79400,0.8
19,Dakota,69,79400,2.2
19,Dakota,69,79400,2
19,Dakota,69,79400,0.5
19,Dakota,69,79400,1.1
19,Dakota,69,79400,5
19,Dakota,69,79400,1.1
19,Dakota,69,79400,1.4
19,Dakota,69,79400,4.2
19,Dakota,69,79400,7.6
19,Dakota,69,79400,5.1
19,Dakota,69,79400,1.9
19,Dakota,69,79400,3.2
19,Dakota,69,79400,5.4
19,Dakota,69,79400,1.5
19,Dakota,69,79400,9.6
19,Dakota,69,79400,8.1
19,Dakota,69,79400,3.6
19,Dakota,69,79400,4.9
19,Dakota,69,79400,10.8
19,Dakota,69,79400,8.7
19,Dakota,69,79400,5.8
19,Dakota,69,79400,2.5
19,Dakota,69,79400,3.5
19,Dakota,69,79400,14.6
19,Dakota,69,79400,3.8
19,Dakota,69,79400,8.8
19,Dakota,69,79400,6.3
19,Dakota,69,79400,6.7
19,Dakota,69,79400,4.7
19,Dakota,69,79400,2.3
19,Dakota,69,79400,2.9
19,Dakota,69,79400,0.7
19,Dakota,69,79400,2.4
19,Dakota,69,79400,7.2
19,Dakota,69,79400,8.9
20,Dodge,3,5500,7.2
20,Dodge,3,5500,5.4
20,Dodge,3,5500,5.7
21,Douglass,11,11400,7.4
21,Douglass,11,11400,4.8
21,Douglass,11,11400,7.8
21,Douglass,11,11400,6.8
21,Douglass,11,11400,5.5
21,Douglass,11,11400,6.4
21,Douglass,11,11400,4.4
21,Douglass,11,11400,2.7
21,Douglass,11,11400,2.7
21,Douglass,11,11400,4.2
21,Douglass,11,11400,4.7
22,Faribault,6,7300,1.3
22,Faribault,6,7300,3.4
22,Faribault,6,7300,5.2
22,Faribault,6,7300,2.3
22,Faribault,6,7300,4.2
22,Faribault,6,7300,0.5
23,Fillmore,2,7900,3.2
23,Fillmore,2,7900,2.5
24,Freeborn,10,13400,32.6
24,Freeborn,10,13400,6.3
24,Freeborn,10,13400,2.2
24,Freeborn,10,13400,3.2
24,Freeborn,10,13400,5.6
24,Freeborn,10,13400,13.2
24,Freeborn,10,13400,9.6
24,Freeborn,10,13400,4.2
24,Freeborn,10,13400,9
24,Freeborn,10,13400,1.9
25,Goodhue,15,14600,6.7
25,Goodhue,15,14600,5.6
25,Goodhue,15,14600,14.3
25,Goodhue,15,14600,6.9
25,Goodhue,15,14600,2.6
25,Goodhue,15,14600,3.5
25,Goodhue,15,14600,3.5
25,Goodhue,15,14600,43.5
25,Goodhue,15,14600,3.9
25,Goodhue,15,14600,9.8
25,Goodhue,15,14600,4.9
25,Goodhue,15,14600,7.6
25,Goodhue,15,14600,4.9
25,Goodhue,15,14600,4.8
25,Goodhue,15,14600,1.9
27,Hennepin,119,392500,7.2
27,Hennepin,119,392500,4.6
27,Hennepin,119,392500,5.1
27,Hennepin,119,392500,4.9
27,Hennepin,119,392500,2.1
27,Hennepin,119,392500,1.5
27,Hennepin,119,392500,2.8
27,Hennepin,119,392500,5.5
27,Hennepin,119,392500,2.7
27,Hennepin,119,392500,16.5
27,Hennepin,119,392500,2.8
27,Hennepin,119,392500,2.5
27,Hennepin,119,392500,2
27,Hennepin,119,392500,3.9
27,Hennepin,119,392500,3.1
27,Hennepin,119,392500,4.1
27,Hennepin,119,392500,3.9
27,Hennepin,119,392500,2.4
27,Hennepin,119,392500,7.9
27,Hennepin,119,392500,7.6
27,Hennepin,119,392500,2.6
27,Hennepin,119,392500,3
27,Hennepin,119,392500,3.9
27,Hennepin,119,392500,1.7
27,Hennepin,119,392500,4.7
27,Hennepin,119,392500,14.9
27,Hennepin,119,392500,6
27,Hennepin,119,392500,8.6
27,Hennepin,119,392500,5.6
27,Hennepin,119,392500,1.6
27,Hennepin,119,392500,3.3
27,Hennepin,119,392500,4
27,Hennepin,119,392500,2.6
27,Hennepin,119,392500,3.6
27,Hennepin,119,392500,4
27,Hennepin,119,392500,1.8
27,Hennepin,119,392500,3
27,Hennepin,119,392500,1.8
27,Hennepin,119,392500,3.8
27,Hennepin,119,392500,4.3
27,Hennepin,119,392500,7.4
27,Hennepin,119,392500,3.8
27,Hennepin,119,392500,4.3
27,Hennepin,119,392500,2.5
27,Hennepin,119,392500,2.3
27,Hennepin,119,392500,1.3
27,Hennepin,119,392500,3.6
27,Hennepin,119,392500,3.9
27,Hennepin,119,392500,5.7
27,Hennepin,119,392500,5.4
27,Hennepin,119,392500,1.9
27,Hennepin,119,392500,3.3
27,Hennepin,119,392500,4.6
27,Hennepin,119,392500,5.5
27,Hennepin,119,392500,2.1
27,Hennepin,119,392500,4.6
27,Hennepin,119,392500,3.3
27,Hennepin,119,392500,0.9
27,Hennepin,119,392500,1.8
27,Hennepin,119,392500,8.6
27,Hennepin,119,392500,3
27,Hennepin,119,392500,5.7
27,Hennepin,119,392500,6.2
27,Hennepin,119,392500,8.4
27,Hennepin,119,392500,6
27,Hennepin,119,392500,5.6
27,Hennepin,119,392500,13.8
27,Hennepin,119,392500,10.9
27,Hennepin,119,392500,3.2
27,Hennepin,119,392500,5.6
27,Hennepin,119,392500,11.2
27,Hennepin,119,392500,3
27,Hennepin,119,392500,4.5
27,Hennepin,119,392500,5.9
27,Hennepin,119,392500,7.6
27,Hennepin,119,392500,13
27,Hennepin,119,392500,4.7
27,Hennepin,119,392500,4.2
27,Hennepin,119,392500,0.5
27,Hennepin,119,392500,2.9
27,Hennepin,119,392500,3
27,Hennepin,119,392500,2.5
27,Hennepin,119,392500,0.9
27,Hennepin,119,392500,2.2
27,Hennepin,119,392500,2.7
27,Hennepin,119,392500,1.6
27,Hennepin,119,392500,8.6
27,Hennepin,119,392500,4.4
27,Hennepin,119,392500,2.9
27,Hennepin,119,392500,7.6
27,Hennepin,119,392500,2.8
27,Hennepin,119,392500,4.1
27,Hennepin,119,392500,1.5
27,Hennepin,119,392500,2.5
27,Hennepin,119,392500,5.5
27,Hennepin,119,392500,5.5
27,Hennepin,119,392500,0.7
27,Hennepin,119,392500,4.3
27,Hennepin,119,392500,4.7
27,Hennepin,119,392500,3.9
27,Hennepin,119,392500,2.6
27,Hennepin,119,392500,2.9
27,Hennepin,119,392500,23.6
27,Hennepin,119,392500,0.8
27,Hennepin,119,392500,0.5
27,Hennepin,119,392500,8.1
27,Hennepin,119,392500,5.9
27,Hennepin,119,392500,4.7
27,Hennepin,119,392500,2.2
27,Hennepin,119,392500,6
27,Hennepin,119,392500,4.1
27,Hennepin,119,392500,4.9
27,Hennepin,119,392500,4
27,Hennepin,119,392500,8.1
27,Hennepin,119,392500,4.6
27,Hennepin,119,392500,3.4
27,Hennepin,119,392500,10
27,Hennepin,119,392500,0.9
27,Hennepin,119,392500,2.4
28,Houston,6,6400,3.4
28,Houston,6,6400,8.5
28,Houston,6,6400,3.6
28,Houston,6,6400,9
28,Houston,6,6400,2.2
28,Houston,6,6400,4.8
29,Hubbard,5,5700,1.5
29,Hubbard,5,5700,0.8
29,Hubbard,5,5700,2.8
29,Hubbard,5,5700,4.6
29,Hubbard,5,5700,3.7
30,Istani,4,9000,2.2
30,Istani,4,9000,3.6
30,Istani,4,9000,3
30,Istani,4,9000,2.7
31,Itasca,12,16600,2.4
31,Itasca,12,16600,4.3
31,Itasca,12,16600,1.9
31,Itasca,12,16600,9.4
31,Itasca,12,16600,2.6
31,Itasca,12,16600,1.3
31,Itasca,12,16600,1.1
31,Itasca,12,16600,2.5
31,Itasca,12,16600,2.6
31,Itasca,12,16600,3.3
31,Itasca,12,16600,1.8
31,Itasca,12,16600,4.3
32,Jackson,7,4800,2.9
32,Jackson,7,4800,15.3
32,Jackson,7,4800,5
32,Jackson,7,4800,8.4
32,Jackson,7,4800,13.1
32,Jackson,7,4800,5.7
32,Jackson,7,4800,22.2
33,Kanabec,4,4900,1.8
33,Kanabec,4,4900,3.8
33,Kanabec,4,4900,7.9
33,Kanabec,4,4900,2.6
34,Kandiyohi,4,14100,11.3
34,Kandiyohi,4,14100,4.1
34,Kandiyohi,4,14100,12.3
34,Kandiyohi,4,14100,6.7
35,Kittson,3,2300,0.9
35,Kittson,3,2300,6.9
35,Kittson,3,2300,4.5
36,Koochiching,9,6200,1
36,Koochiching,9,6200,1.7
36,Koochiching,9,6200,2.8
36,Koochiching,9,6200,1.4
36,Koochiching,9,6200,2
36,Koochiching,9,6200,1.3
36,Koochiching,9,6200,1
36,Koochiching,9,6200,3.3
36,Koochiching,9,6200,5.4
37,Lac qui Parle,2,3800,11.3
37,Lac qui Parle,2,3800,16
38,Lake,10,4400,1.6
38,Lake,10,4400,0.9
38,Lake,10,4400,1.3
38,Lake,10,4400,1.3
38,Lake,10,4400,2.8
38,Lake,10,4400,0.5
38,Lake,10,4400,1.5
38,Lake,10,4400,7.1
38,Lake,10,4400,0.5
38,Lake,10,4400,0.5
39,Lake of the Woods,5,1500,10.1
39,Lake of the Woods,5,1500,4.3
39,Lake of the Woods,5,1500,3.3
39,Lake of the Woods,5,1500,2.9
39,Lake of the Woods,5,1500,3.7
40,Le Sueur,6,8700,4.5
40,Le Sueur,6,8700,3.9
40,Le Sueur,6,8700,4.2
40,Le Sueur,6,8700,3.3
40,Le Sueur,6,8700,12.5
40,Le Sueur,6,8700,7.4
41,Lincoln,4,2900,7.9
41,Lincoln,4,2900,17.5
41,Lincoln,4,2900,3.5
41,Lincoln,4,2900,10.6
42,Lyon,10,9000,12
42,Lyon,10,9000,6.5
42,Lyon,10,9000,5.1
42,Lyon,10,9000,4.6
42,Lyon,10,9000,6.9
42,Lyon,10,9000,5.1
42,Lyon,10,9000,8.9
42,Lyon,10,9000,5.8
42,Lyon,10,9000,5.8
42,Lyon,10,9000,2.6
43,Mahnomen,1,1600,3.9
44,Marshall,9,4500,0.9
44,Marshall,9,4500,0.9
44,Marshall,9,4500,2.8
44,Marshall,9,4500,23.8
44,Marshall,9,4500,8.3
44,Marshall,9,4500,1.4
44,Marshall,9,4500,1.5
44,Marshall,9,4500,1.1
44,Marshall,9,4500,48.2
45,Martin,8,9700,4.1
45,Martin,8,9700,0.5
45,Martin,8,9700,6.7
45,Martin,8,9700,7.5
45,Martin,8,9700,9.2
45,Martin,8,9700,1.5
45,Martin,8,9700,0.5
45,Martin,8,9700,1.9
46,McLeod,13,11100,4.4
46,McLeod,13,11100,2.8
46,McLeod,13,11100,1.1
46,McLeod,13,11100,10.3
46,McLeod,13,11100,1.2
46,McLeod,13,11100,1.6
46,McLeod,13,11100,25.4
46,McLeod,13,11100,3.9
46,McLeod,13,11100,0.5
46,McLeod,13,11100,1.8
46,McLeod,13,11100,9.9
46,McLeod,13,11100,2.3
46,McLeod,13,11100,10.6
47,Meeker,5,7700,3.9
47,Meeker,5,7700,7.2
47,Meeker,5,7700,2.1
47,Meeker,5,7700,3.2
47,Meeker,5,7700,2.3
48,Mille Lacs,3,7200,0.5
48,Mille Lacs,3,7200,5.7
48,Mille Lacs,3,7200,2.3
49,Morrison,10,10300,1.4
49,Morrison,10,10300,2.1
49,Morrison,10,10300,3
49,Morrison,10,10300,5.1
49,Morrison,10,10300,2.4
49,Morrison,10,10300,4.9
49,Morrison,10,10300,3
49,Morrison,10,10300,2.8
49,Morrison,10,10300,3.9
49,Morrison,10,10300,12.9
50,Mower,14,14900,4.1
50,Mower,14,14900,6.4
50,Mower,14,14900,24
50,Mower,14,14900,2
50,Mower,14,14900,1.1
50,Mower,14,14900,9.2
50,Mower,14,14900,3
50,Mower,14,14900,4.5
50,Mower,14,14900,10.9
50,Mower,14,14900,2.1
50,Mower,14,14900,9.1
50,Mower,14,14900,8
50,Mower,14,14900,10.6
50,Mower,14,14900,3.1
51,Murray,1,3900,12.1
52,Nicollet,4,9500,8.1
52,Nicollet,4,9500,4.2
52,Nicollet,4,9500,15.7
52,Nicollet,4,9500,10.8
53,Nobles,3,7800,5.4
53,Nobles,3,7800,6.2
53,Nobles,3,7800,9.7
54,Norman,3,3300,8.1
54,Norman,3,3300,1.6
54,Norman,3,3300,1.6
55,Olmsted,26,36100,6.4
55,Olmsted,26,36100,0.6
55,Olmsted,26,36100,2
55,Olmsted,26,36100,2.5
55,Olmsted,26,36100,1.1
55,Olmsted,26,36100,9.4
55,Olmsted,26,36100,4.4
55,Olmsted,26,36100,11.2
55,Olmsted,26,36100,2.9
55,Olmsted,26,36100,10
55,Olmsted,26,36100,2.1
55,Olmsted,26,36100,4.5
55,Olmsted,26,36100,7.8
55,Olmsted,26,36100,3.8
55,Olmsted,26,36100,1.1
55,Olmsted,26,36100,2.5
55,Olmsted,26,36100,2.9
55,Olmsted,26,36100,8
55,Olmsted,26,36100,2.3
55,Olmsted,26,36100,1.7
55,Olmsted,26,36100,3.2
55,Olmsted,26,36100,5
55,Olmsted,26,36100,4.1
55,Olmsted,26,36100,2
55,Olmsted,26,36100,1.9
55,Olmsted,26,36100,1.1
56,Otter Tail,11,19900,0.5
56,Otter Tail,11,19900,3.2
56,Otter Tail,11,19900,2.1
56,Otter Tail,11,19900,2.7
56,Otter Tail,11,19900,1.1
56,Otter Tail,11,19900,12.6
56,Otter Tail,11,19900,4.2
56,Otter Tail,11,19900,3.8
56,Otter Tail,11,19900,12
56,Otter Tail,11,19900,4.8
56,Otter Tail,11,19900,1.1
57,Pennington,4,5700,3.7
57,Pennington,4,5700,5.8
57,Pennington,4,5700,0.5
57,Pennington,4,5700,1.9
58,Pine,6,7500,1.5
58,Pine,6,7500,1.2
58,Pine,6,7500,1.9
58,Pine,6,7500,1.2
58,Pine,6,7500,4.1
58,Pine,6,7500,2.8
59,Pipestone,4,4100,9.4
59,Pipestone,4,4100,1.7
59,Pipestone,4,4100,12.1
59,Pipestone,4,4100,4.3
60,Polk,4,12500,6.9
60,Polk,4,12500,1.4
60,Polk,4,12500,2.5
60,Polk,4,12500,9.6
61,Pope,2,4600,3.4
61,Pope,2,4600,3.8
62,Ramsey,42,180900,3.8
62,Ramsey,42,180900,1.7
62,Ramsey,42,180900,5.5
62,Ramsey,42,180900,2.1
62,Ramsey,42,180900,1.6
62,Ramsey,42,180900,6.5
62,Ramsey,42,180900,2.2
62,Ramsey,42,180900,4
62,Ramsey,42,180900,3.6
62,Ramsey,42,180900,3.5
62,Ramsey,42,180900,10.1
62,Ramsey,42,180900,7
62,Ramsey,42,180900,5.5
62,Ramsey,42,180900,5.5
62,Ramsey,42,180900,2.7
62,Ramsey,42,180900,5.2
62,Ramsey,42,180900,3.1
62,Ramsey,42,180900,2.5
62,Ramsey,42,180900,8.6
62,Ramsey,42,180900,1.2
62,Ramsey,42,180900,6.2
62,Ramsey,42,180900,4.2
62,Ramsey,42,180900,0.7
62,Ramsey,42,180900,2.8
62,Ramsey,42,180900,1.2
62,Ramsey,42,180900,2.7
62,Ramsey,42,180900,1.2
62,Ramsey,42,180900,4.9
62,Ramsey,42,180900,1
62,Ramsey,42,180900,2.6
62,Ramsey,42,180900,1.2
62,Ramsey,42,180900,3.5
62,Ramsey,42,180900,3.5
62,Ramsey,42,180900,30.9
62,Ramsey,42,180900,0.5
62,Ramsey,42,180900,2.8
62,Ramsey,42,180900,2.2
62,Ramsey,42,180900,11.6
62,Ramsey,42,180900,3.1
62,Ramsey,42,180900,3.9
62,Ramsey,42,180900,9.3
62,Ramsey,42,180900,5
64,Redwood,5,6700,1.9
64,Redwood,5,6700,3.8
64,Redwood,5,6700,7.4
64,Redwood,5,6700,20.7
64,Redwood,5,6700,7.5
65,Renville,3,7400,6
65,Renville,3,7400,2.1
65,Renville,3,7400,6.9
66,Rice,11,15900,7.7
66,Rice,11,15900,3
66,Rice,11,15900,4.7
66,Rice,11,15900,8.1
66,Rice,11,15900,9.7
66,Rice,11,15900,6.4
66,Rice,11,15900,4.6
66,Rice,11,15900,5.6
66,Rice,11,15900,19
66,Rice,11,15900,5.1
66,Rice,11,15900,2.4
67,Rock,3,3800,8.4
67,Rock,3,3800,1.6
67,Rock,3,3800,11.2
68,Roseau,14,4700,11.4
68,Roseau,14,4700,3.6
68,Roseau,14,4700,1.2
68,Roseau,14,4700,4.3
68,Roseau,14,4700,1.7
68,Roseau,14,4700,3.6
68,Roseau,14,4700,2.7
68,Roseau,14,4700,4
68,Roseau,14,4700,6
68,Roseau,14,4700,10.3
68,Roseau,14,4700,1.1
68,Roseau,14,4700,3.4
68,Roseau,14,4700,3.1
68,Roseau,14,4700,4.2
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,8.6
69,St. Louis,122,8100,5
69,St. Louis,122,8100,1.1
69,St. Louis,122,8100,4.3
69,St. Louis,122,8100,0.8
69,St. Louis,122,8100,0.7
69,St. Louis,122,8100,1.1
69,St. Louis,122,8100,2.1
69,St. Louis,122,8100,2.3
69,St. Louis,122,8100,0.5
69,St. Louis,122,8100,1.4
69,St. Louis,122,8100,1.4
69,St. Louis,122,8100,32.2
69,St. Louis,122,8100,3
69,St. Louis,122,8100,2.4
69,St. Louis,122,8100,2.3
69,St. Louis,122,8100,4.6
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,5.4
69,St. Louis,122,8100,4.2
69,St. Louis,122,8100,7.2
69,St. Louis,122,8100,2.2
69,St. Louis,122,8100,4.6
69,St. Louis,122,8100,3.4
69,St. Louis,122,8100,0.8
69,St. Louis,122,8100,3.1
69,St. Louis,122,8100,2.1
69,St. Louis,122,8100,3.2
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,3.5
69,St. Louis,122,8100,3.3
69,St. Louis,122,8100,3.9
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,2.1
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,2.9
69,St. Louis,122,8100,1.3
69,St. Louis,122,8100,1.6
69,St. Louis,122,8100,0.5
69,St. Louis,122,8100,1.1
69,St. Louis,122,8100,1.2
69,St. Louis,122,8100,2.2
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,4.5
69,St. Louis,122,8100,3.3
69,St. Louis,122,8100,3.6
69,St. Louis,122,8100,3.1
69,St. Louis,122,8100,0.5
69,St. Louis,122,8100,1.7
69,St. Louis,122,8100,1.7
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,0.6
69,St. Louis,122,8100,2.4
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,3.3
69,St. Louis,122,8100,3.2
69,St. Louis,122,8100,2
69,St. Louis,122,8100,2.4
69,St. Louis,122,8100,5.6
69,St. Louis,122,8100,3.5
69,St. Louis,122,8100,2.4
69,St. Louis,122,8100,1.1
69,St. Louis,122,8100,5.4
69,St. Louis,122,8100,3.1
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,0.6
69,St. Louis,122,8100,3.6
69,St. Louis,122,8100,0.8
69,St. Louis,122,8100,1.7
69,St. Louis,122,8100,0.5
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,0.7
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,1.6
69,St. Louis,122,8100,8.7
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,1.6
69,St. Louis,122,8100,1.4
69,St. Louis,122,8100,6.4
69,St. Louis,122,8100,0.7
69,St. Louis,122,8100,4.3
69,St. Louis,122,8100,3.4
69,St. Louis,122,8100,11
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,11.1
69,St. Louis,122,8100,1.3
69,St. Louis,122,8100,1.6
69,St. Louis,122,8100,8.7
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,1.5
69,St. Louis,122,8100,1.4
69,St. Louis,122,8100,2.8
69,St. Louis,122,8100,2.2
69,St. Louis,122,8100,2.7
69,St. Louis,122,8100,0.8
69,St. Louis,122,8100,14.9
69,St. Louis,122,8100,11.7
69,St. Louis,122,8100,2.7
69,St. Louis,122,8100,3.1
69,St. Louis,122,8100,1.7
69,St. Louis,122,8100,3
69,St. Louis,122,8100,3.3
69,St. Louis,122,8100,3.3
69,St. Louis,122,8100,2
69,St. Louis,122,8100,2
69,St. Louis,122,8100,1.4
69,St. Louis,122,8100,1.9
69,St. Louis,122,8100,1.1
69,St. Louis,122,8100,1.8
69,St. Louis,122,8100,0.5
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,0.9
69,St. Louis,122,8100,0.6
69,St. Louis,122,8100,1.7
69,St. Louis,122,8100,6.7
69,St. Louis,122,8100,5.7
69,St. Louis,122,8100,6.7
70,Scott,14,16500,3.2
70,Scott,14,16500,2.2
70,Scott,14,16500,10.2
70,Scott,14,16500,5.4
70,Scott,14,16500,8.3
70,Scott,14,16500,25.2
70,Scott,14,16500,2.1
70,Scott,14,16500,2
70,Scott,14,16500,9.1
70,Scott,14,16500,2
70,Scott,14,16500,4.3
70,Scott,14,16500,1.2
70,Scott,14,16500,11.4
70,Scott,14,16500,5.7
71,Sherburne,9,11100,2.3
71,Sherburne,9,11100,3.2
71,Sherburne,9,11100,1.7
71,Sherburne,9,11100,1.6
71,Sherburne,9,11100,2.8
71,Sherburne,9,11100,3.1
71,Sherburne,9,11100,2.6
71,Sherburne,9,11100,2.5
71,Sherburne,9,11100,2.7
72,Sibley,4,5500,10.1
72,Sibley,4,5500,5
72,Sibley,4,5500,1.5
72,Sibley,4,5500,4.8
73,Stearns,27,36000,6.4
73,Stearns,27,36000,8.3
73,Stearns,27,36000,1.9
73,Stearns,27,36000,2.1
73,Stearns,27,36000,7
