     GMT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
12/4/94,37,37,34,31,37,36,35,38,40,38,34,34,37,38,39,40,39,37,34,32,31,28,24,27
13/04/94,25,28,30,30,30,28,28,32,34,36,38,41,43,44,45,46,45,43,37,32,31,29,23,27
14/04/94,27,27,31,33,34,36,37,39,42,40,42,43,44,45,45,48,45,44,43,39,38,37,39,39
15/04/94,39,39,40,38,37,39,42,39,39,39,38,39,40,41,43,43,44,43,39,37,37,36,37,35
16/04/94,34,36,36,36,34,34,33,37,41,42,44,46,44,39,36,35,32,29,27,24,19,19,19,18
17/04/94,17,12,8,10,32,35,35,36,37,35,36,38,40,43,44,44,45,44,39,36,34,31,30,29
18/04/94,27,21,20,18,15,9,12,15,24,38,34,35,32,37,37,37,39,38,38,36,33,31,37,39
19/04/94,37,35,34,32,32,34,37,40,45,46,46,47,47,48,47,47,47,46,45,38,34,30,25,25
20/04/94,20,14,15,13,14,12,18,31,36,42,47,46,45,45,44,45,41,37,34,33,27,18,14,16
21/04/94,12,15,11,11,9,13,10,14,25,37,37,37,42,44,40,41,38,38,35,22,15,13,11,14
22/04/94,23,26,24,23,29,42,43,42,41,41,43,45,45,45,45,45,47,45,38,28,28,26,27,29
23/04/94,23,20,20,29,32,30,31,35,42,42,42,40,35,33,35,39,39,42,40,26,25,28,28,33
24/04/94,32,39,38,38,37,35,37,39,43,44,44,44,44,43,    ,41,    ,41,39,36,34,32,28,26
25/04/94,30,30,29,24,22,24,31,36,34,33,34,35,40,50,47,49,    ,46,45,42,37,31,28,32
26/04/94,26,40,44,44,43,40,39,40,41,42,42,42,45,47,46,46,    ,45,44,44,47,46,44,40
27/04/94,37,36,35,32,31,31,31,33,31,32,32,36,38,32,30,32,    ,30,30,29,28,27,27,28
28/04/94,28,28,28,27,27,26,24,25,24,23,23,23,24,24,26,26,    ,26,27,26,26,26,27,27
29/04/94,27,27,27,26,26,27,28,31,33,33,34,35,35,39,37,36,35,30,28,29,36,38,38,38
30/04/94,36,38,38,38,37,32,37,42,40,41,39,39,40,40,43,44,42,41,34,31,21,23,29,30
1/5/94,29,27,24,23,19,18,23,27,31,37,40,44,47,49,52,53,52,53,51,44,30,22,17,17
2/5/94,13,12,14,24,30,24,30,41,44,40,42,37,33,40,40,43,48,39,36,30,23,22,20,17
3/5/94,19,18,23,24,21,24,27,    ,29,31,37,40,42,41,38,46,    ,48,45,40,34,35,41,41
4/5/94,39,40,40,39,41,42,42,42,    ,42,42,42,42,40,37,35,33,31,31,31,34,36,37,35
5/5/94,34,30,28,28,28,28,29,31,34,37,40,39,36,32,29,25,23,21,21,20,37,34,26,    
6/5/94,31,23,23,24,23,24,28,    ,33,36,38,40,41,43,42,43,43,40,38,36,33,28,23,26
7/5/94,29,29,29,27,26,29,30,32,37,37,39,42,44,41,42,42,41,41,39,36,28,14,14,10
8/5/94,12,17,21,14,27,26,22,28,32,35,36,41,44,44,45,45,45,44,42,35,20,14,14,11
9/5/94,9,6,10,7,4,5,6,10,23,39,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
10/5/94,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,41,45,46,45,45,41,40,37,35,35,35,35
11/5/94,31,31,30,27,28,29,31,32,38,40,50,50,48,50,48,45,46,48,49,49,49,50,50,51
12/5/94,51,50,48,47,48,45,45,47,48,50,57,65,71,71,66,64,61,59,62,62,57,55,55,53
13/05/94,53,52,50,48,48,47,46,46,50,52,55,59,62,60,58,59,59,56,53,48,44,47,47,48
14/05/94,46,45,43,42,42,40,39,43,47,51,56,58,58,57,58,54,53,52,52,50,50,50,52,52
15/05/94,49,50,52,55,52,51,51,49,46,43,41,42,42,42,41,43,43,43,42,44,46,44,42,42
16/05/94,40,38,38,37,37,38,38,40,41,40,41,44,45,46,45,44,43,42,42,41,41,39,38,38
17/05/94,37,39,38,39,37,37,38,40,41,42,42,43,43,43,41,39,39,41,40,39,40,39,38,37
18/05/94,37,35,33,33,30,29,34,35,37,38,42,42,44,44,44,44,44,43,41,39,36,28,24,    
19/05/94,23,24,25,22,22,21,29,36,37,38,39,39,41,43,42,40,40,39,39,39,37,37,39,37
20/05/94,37,36,34,34,33,35,35,38,41,40,41,42,43,45,45,46,46,46,47,45,46,45,44,45
21/05/94,45,43,41,39,38,40,41,40,43,44,48,50,51,52,52,51,52,53,52,51,49,50,48,45
22/05/94,44,42,42,40,41,42,43,43,43,44,47,49,49,49,50,51,51,50,51,52,52,48,50,47
23/05/94,43,38,39,38,38,38,39,40,40,40,45,47,47,48,47,48,50,49,46,44,40,39,38,40
24/05/94,39,39,41,43,44,43,44,43,43,45,46,46,47,47,47,47,44,43,43,40,38,37,36,39
25/05/94,38,38,38,39,38,41,44,45,47,46,48,48,49,48,47,46,46,45,44,44,42,39,37,33
26/05/94,31,33,34,35,37,38,38,39,40,39,40,43,42,40,39,42,43,43,42,40,38,37,33,31
27/05/94,30,29,26,24,22,16,19,37,40,41,39,40,43,44,44,43,43,43,43,41,34,27,25,21
28/05/94,18,13,16,14,16,25,29,31,37,39,42,42,42,42,43,41,36,36,38,33,36,36,36,36
29/05/94,37,38,35,33,34,32,34,38,42,43,43,44,44,45,46,47,47,46,42,35,33,30,28,22
30/05/94,20,17,15,13,11,8,14,33,41,42,46,47,    ,47,47,49,49,49,48,47,46,44,41,39
31/05/94,39,37,37,39,36,36,34,34,35,37,37,37,37,36,36,35,33,29,31,32,28,29,32,34
1/6/94,36,33,38,37,37,36,36,37,37,37,41,48,56,60,61,55,58,60,60,59,56,46,41,36
2/6/94,32,23,18,18,18,19,25,46,51,53,45,37,35,36,39,36,37,36,36,36,34,34,37,35
3/6/94,34,35,41,38,35,33,31,32,34,35,39,41,43,40,38,39,38,37,33,34,38,41,39,37
4/6/94,35,36,36,34,35,33,33,32,33,33,34,34,35,35,35,35,34,32,31,33,33,33,32,31
5/6/94,31,29,25,24,27,27,28,30,31,32,34,39,43,36,34,34,36,37,37,35,34,32,30,31
6/6/94,33,32,30,26,24,27,37,34,35,33,31,31,22,19,18,20,22,23,22,26,35,34,35,36
7/6/94,36,36,35,33,32,27,28,29,30,33,35,37,36,34,34,33,32,31,31,30,32,31,29,28
8/6/94,27,29,30,32,26,29,30,32,35,35,36,37,38,38,37,37,39,40,39,38,35,34,32,30
9/6/94,28,29,28,33,34,30,29,29,28,28,29,30,30,30,27,27,28,27,29,29,28,28,28,28
10/6/94,25,23,25,24,24,24,23,24,26,26,28,30,33,37,39,41,39,34,30,28,26,26,28,27
11/6/94,27,18,17,27,17,28,34,34,33,31,35,38,36,36,36,35,35,35,34,35,34,32,33,33
12/6/94,31,30,26,19,14,13,22,26,25,27,27,26,26,27,29,28,28,29,28,26,22,18,12,9
13/06/94,6,5,4,4,6,9,14,15,22,22,21,25,28,34,35,33,34,34,33,31,28,30,33,33
14/06/94,34,33,33,33,35,36,34,34,35,37,37,37,37,38,40,41,41,40,37,39,37,37,36,36
15/06/94,38,38,40,44,42,44,41,39,36,32,32,34,32,31,32,33,34,35,35,34,33,31,34,34
16/06/94,34,35,34,32,32,33,35,35,32,31,30,29,29,29,27,26,28,28,27,27,22,20,19,23
17/06/94,26,27,22,22,21,23,24,27,26,26,28,27,30,35,34,29,27,30,32,30,30,29,26,24
18/06/94,24,24,26,25,26,26,27,27,27,28,28,29,28,27,26,25,27,28,29,30,29,27,27,24
19/06/94,24,23,22,23,27,31,32,33,34,36,37,37,39,38,40,39,39,37,35,30,28,27,28,24
20/06/94,22,20,21,20,18,17,17,20,24,25,30,33,33,34,34,35,35,33,32,32,32,32,33,31
21/06/94,29,33,33,33,34,32,31,28,25,31,34,35,34,33,33,31,26,28,25,23,22,20,20,22
22/06/94,24,26,25,27,29,27,26,28,29,27,    ,26,26,28,29,29,29,29,28,27,26,26,26,24
23/06/94,23,16,15,15,13,15,16,18,21,23,24,24,27,30,29,30,30,30,29,29,21,12,17,18
24/06/94,14,16,19,17,17,20,28,36,39,50,61,62,58,50,59,63,67,63,55,53,46,37,31,25
25/06/94,19,25,43,46,42,39,39,35,32,31,30,30,31,32,30,32,30,27,21,23,21,20,17,18
26/06/94,21,15,18,20,16,15,18,22,23,26,27,28,29,29,28,27,25,24,24,25,26,25,    ,24
27/06/94,26,26,24,22,22,22,21,20,20,22,23,26,26,29,28,28,26,24,26,27,26,26,    ,24
28/06/94,25,28,29,31,31,32,33,33,35,37,38,39,41,45,49,60,54,47,43,38,39,36,    ,32
29/06/94,31,28,27,24,24,24,23,23,24,27,26,27,29,31,30,30,30,31,30,29,29,28,    ,27
30/06/94,28,20,17,17,17,15,20,28,32,32,31,35,38,37,36,38,40,38,37,33,25,19,    ,12
1/7/94,15,18,17,15,16,18,23,30,32,38,43,46,46,47,46,49,40,38,33,29,27,27,    ,29
2/7/94,29,27,26,30,33,33,32,30,30,32,33,35,43,38,44,46,50,50,46,41,36,32,    ,30
3/7/94,28,28,28,28,29,25,23,25,25,29,33,31,35,42,43,44,48,44,33,30,29,32,31,35
4/7/94,30,21,18,18,14,14,18,21,24,22,26,29,33,35,32,37,41,40,37,33,35,27,29,24
5/7/94,21,22,22,26,29,26,25,26,31,26,24,26,30,32,32,31,32,33,33,31,27,26,29,25
6/7/94,25,37,32,28,18,21,21,27,38,37,38,38,38,38,40,42,32,25,21,24,25,27,27,28
7/7/94,32,32,35,34,33,35,36,40,47,47,50,33,30,35,40,44,44,45,39,30,30,31,31,36
8/7/94,30,17,18,21,19,25,23,27,31,37,    ,49,49,49,48,41,39,39,39,35,25,16,8,5
9/7/94,7,5,7,11,14,17,24,23,22,22,    ,27,27,27,30,32,33,33,33,31,31,31,30,30
10/7/94,28,27,27,26,26,25,23,23,25,27,    ,29,29,28,29,28,27,27,29,28,30,29,27,27
11/7/94,27,26,24,25,26,23,26,29,31,31,    ,24,21,21,22,24,25,27,27,28,27,25,22,18
12/7/94,14,15,17,15,12,5,7,16,19,20,    ,29,30,30,29,28,28,21,21,21,20,23,21,18
13/07/94,15,9,6,6,8,8,9,18,23,29,    ,30,31,31,32,37,38,35,34,31,26,25,19,10
14/07/94,6,7,6,6,6,2,4,15,23,32,    ,34,35,35,34,31,31,31,27,25,23,23,21,21
15/07/94,20,17,16,14,15,20,23,23,25,28,29,30,31,31,31,31,29,28,27,27,25,23,21,16
16/07/94,21,19,20,21,20,21,27,32,33,33,32,33,32,32,32,33,34,32,35,31,30,27,22,18
17/07/94,19,16,15,14,13,14,19,25,30,32,34,36,38,38,39,43,44,44,43,36,32,25,17,14
18/07/94,13,12,11,9,9,11,19,25,34,38,36,38,41,41,42,42,44,45,44,40,35,27,21,15
19/07/94,15,14,12,11,12,10,12,31,36,41,45,47,49,50,50,51,53,54,53,52,47,33,23,17
20/07/94,17,12,10,13,14,11,11,20,33,49,58,70,73,72,71,69,67,67,64,59,51,42,34,25
21/07/94,27,24,20,18,15,15,23,26,27,28,28,30,28,29,28,28,27,26,26,19,14,8,9,5
22/07/94,4,5,4,5,3,4,9,16,22,21,25,28,28,31,31,32,31,30,28,18,15,12,10,8
23/07/94,5,10,8,7,8,12,17,23,27,33,36,44,45,47,50,54,59,62,59,46,41,33,27,24
24/07/94,25,24,26,23,22,22,22,23,26,36,40,41,42,42,49,54,52,49,46,38,34,33,39,36
25/07/94,34,43,37,27,25,26,27,27,25,28,31,32,30,30,31,31,29,29,29,32,31,30,30,29
26/07/94,27,26,24,23,23,21,18,16,17,20,22,22,21,21,    ,20,22,24,22,22,20,21,23,27
27/07/94,24,22,24,24,23,22,20,20,22,25,29,32,32,33,    ,32,33,33,31,29,26,19,16,13
28/07/94,11,8,6,3,5,8,11,15,22,24,27,28,31,32,    ,33,33,33,32,27,14,12,10,5
29/07/94,4,4,4,2,2,3,11,16,20,30,32,31,33,36,    ,35,36,34,32,31,29,27,22,18
30/07/94,18,15,14,8,11,11,16,26,37,47,54,61,65,65,    ,71,75,72,67,60,37,38,43,41
31/07/94,45,41,43,41,40,38,38,36,35,44,44,57,57,58,    ,48,46,41,35,41,46,45,47,50
1/8/94,40,37,42,44,44,40,37,39,41,44,44,44,48,49,    ,48,41,42,34,31,25,23,21,21
2/8/94,23,22,21,23,23,27,28,30,27,28,28,28,29,28,    ,28,32,34,30,18,11,5,5,9
3/8/94,8,7,9,12,14,16,15,15,13,11,10,9,14,20,    ,20,22,28,24,    ,26,20,17,26
4/8/94,25,21,17,13,25,38,36,34,35,33,33,37,40,40,    ,34,32,31,29,27,24,23,22,23
5/8/94,24,21,19,21,21,18,18,19,16,19,24,27,26,28,    ,29,26,25,25,26,27,25,17,12
6/8/94,7,4,5,4,4,2,3,7,18,23,25,27,29,30,    ,31,31,29,24,21,19,20,22,18
7/8/94,17,18,14,11,17,17,19,21,26,23,26,27,27,28,    ,32,31,29,26,23,22,22,17,18
8/8/94,19,11,14,15,19,19,20,25,27,30,31,29,30,30,    ,32,34,31,28,17,12,17,20,19
9/8/94,15,12,13,14,16,17,22,22,26,30,31,31,29,30,31,31,32,30,30,29,29,31,33,32
10/8/94,29,28,28,29,29,28,27,27,27,27,29,30,31,31,30,30,30,31,31,33,33,33,32,32
11/8/94,29,28,30,29,24,28,29,27,29,30,31,32,33,34,    ,34,33,32,31,23,17,21,19,20
12/8/94,19,16,21,14,9,8,10,23,28,31,32,34,35,35,    ,33,32,27,24,19,18,18,16,16
13/08/94,15,13,11,10,6,5,4,8,14,21,26,26,27,25,    ,29,28,26,20,17,22,24,23,26
14/08/94,23,19,19,15,11,9,5,14,22,27,28,27,29,30,    ,31,30,29,27,25,19,16,17,17
15/08/94,15,15,14,11,10,10,14,25,31,31,30,31,31,32,30,31,29,32,32,29,21,16,9,9
16/08/94,9,6,8,7,6,5,6,7,15,20,26,24,22,29,31,33,31,29,30,31,29,28,25,24
17/08/94,23,26,24,23,21,18,18,20,24,26,26,28,30,29,29,29,23,22,22,23,25,24,28,29
18/08/94,23,20,22,18,19,16,17,29,30,28,30,27,29,27,27,26,23,19,22,20,20,23,23,17
19/08/94,16,19,21,23,22,23,23,24,26,24,23,22,20,20,21,20,20,23,25,26,23,24,25,23
20/08/94,21,19,18,17,16,17,21,22,27,28,30,30,28,28,26,24,25,24,23,21,18,16,15,15
21/08/94,13,8,10,12,13,12,10,13,18,23,23,25,26,28,28,27,27,27,23,5,6,7,7,8
22/08/94,8,8,10,12,13,15,15,15,19,23,29,37,40,42,47,49,50,42,34,33,33,32,41,38
23/08/94,37,34,36,36,39,37,34,31,30,27,24,22,21,23,28,29,30,29,25,26,24,23,29,27
24/08/94,28,26,25,27,28,24,22,24,25,28,27,27,26,30,33,32,30,29,26,26,23,23,24,21
25/08/94,19,12,10,8,12,16,15,19,25,27,28,26,29,30,28,27,26,25,24,22,20,22,28,29
26/08/94,28,29,27,27,25,27,28,27,26,25,23,23,24,23,23,24,24,23,23,21,25,27,28,26
27/08/94,22,18,17,16,17,14,17,18,19,21,21,21,22,22,23,21,20,23,25,23,20,19,20,18
28/08/94,19,19,19,21,23,25,27,    ,26,26,26,26,28,31,33,34,35,35,36,36,36,36,35,34
29/08/94,33,32,33,33,31,30,33,33,34,33,33,34,34,35,35,34,32,29,25,25,21,18,16,14
30/08/94,11,8,7,7,7,6,7,9,13,27,28,32,33,31,33,34,33,26,19,8,8,9,7,8
31/08/94,7,8,8,12,15,18,22,19,17,17,17,17,20,30,31,28,25,27,21,22,18,21,23,22
1/9/94,24,30,30,31,31,33,34,34,35,37,38,38,40,40,40,41,42,39,33,33,25,16,13,14
2/9/94,11,10,11,6,9,6,6,5,12,29,39,42,44,44,45,46,47,37,36,23,25,21,16,14
3/9/94,10,12,12,9,14,11,11,11,22,42,49,49,49,49,47,39,36,37,35,30,21,16,16,20
4/9/94,23,29,29,23,21,20,17,16,16,20,22,23,23,24,23,25,22,23,27,27,27,22,19,22
5/9/94,23,27,25,24,25,18,15,25,25,27,29,30,31,29,28,29,29,27,27,25,18,10,8,5
6/9/94,8,14,16,22,20,18,18,21,20,18,24,33,32,31,34,34,35,34,31,24,17,10,8,11
7/9/94,12,12,11,12,14,18,20,22,22,23,27,27,27,29,31,31,29,29,23,8,6,8,10,11
8/9/94,10,14,14,15,12,12,12,13,15,14,21,28,33,35,35,35,35,31,29,22,16,15,11,12
9/9/94,6,5,7,8,6,6,3,5,7,11,20,23,28,33,33,35,33,30,27,21,18,14,11,13
10/9/94,9,6,6,13,16,20,22,31,31,32,32,33,32,34,33,31,30,25,23,22,23,25,27,29
11/9/94,32,33,35,36,36,34,33,34,34,33,32,31,30,31,32,30,29,28,26,23,19,18,18,17
12/9/94,16,16,18,12,7,13,18,21,21,24,29,30,28,30,32,31,26,23,25,19,15,10,8,8
